station_id,station_name,district,rack_count
637, KAIST 경영대학 앞,동대문구,
638, 서울시립대 정보기술관,동대문구,10.0
639, 서울시립대 후문,동대문구,14.0
640, 동대문경찰서 교차로,동대문구,
641, 용두역 4번출구,동대문구,10.0
642, 신답역 사거리,동대문구,9.0
643, 동대문구민체육센터 (육교아래),동대문구,10.0
648, 장안동위더스빌옆,동대문구,
650, 중랑교사거리,동대문구,
652, 답십리 래미안엘파인아파트 입구,동대문구,
654, 전농동 텃골공원,동대문구,
656, 영휘원 교차로,동대문구,
657, 동대문롯데캐슬아파트 앞,동대문구,
661, 경희대학교 청운관,동대문구,
663,외대앞역 3번출구,동대문구,
664, 서울시립대 건설공학관,동대문구,
665,이문동 쌍용아파트 정문,동대문구,11.0
666,이문대성유니드아파트 앞,동대문구,20.0
667,청량차도 육교 밑,동대문구,7.0
669,청계한신휴플러스앞 삼거리,동대문구,10.0
670,삼육서울병원 버스정류장,동대문구,9.0
671,대광빌딩,동대문구,10.0
672,대광고등학교,동대문구,17.0
673,안암골벽산아파트(후문),동대문구,10.0
674,고대앞사거리 교통섬,동대문구,15.0
676,FITI시험연구원 앞,동대문구,9.0
678,장안힐스테이트(아) 앞,동대문구,21.0
679,전농SK아파트 앞,동대문구,10.0
680,꿈마루어린이도서관 앞,동대문구,22.0
681,서울특별시 동부교육지원청(육교),동대문구,14.0
700, KB국민은행 염창역 지점 앞,양천구,
701, 목동사거리 부근,양천구,
702, 목4동주민센터 옆,양천구,
703, 오목교역 7번출구 앞,양천구,12.0
704, 남부법원검찰청 교차로,양천구,
706, 신정네거리역,양천구,15.0
708, 서울출입국관리사무소 앞,양천구,
709, 신정3동 현장민원실 앞,양천구,
710, 금옥여고보도육교,양천구,10.0
711, 신일해피트리아파트 앞,양천구,
713, 양서중학교 옆,양천구,20.0
714, 한국SGI 양천문화회관 앞,양천구,
716,신정6동 주민센터 인근,양천구,
719, 홍익병원앞 교차로,양천구,
720, 서울강월초등학교 앞,양천구,
722, 경서농협 버스정류장(우리은행신정동지점방향),양천구,
723, SBS방송국,양천구,
724, 계남공원 입구 주출입구 좌측,양천구,
726, 목동3단지 시내버스정류장,양천구,
729, 서부식자재마트 건너편,양천구,
731, 서울시 도로환경관리센터,양천구,
733, 신정이펜하우스314동,양천구,
734, 신트리공원 입구,양천구,
735, 영도초등학교,양천구,
736, 오솔길공원,양천구,
737, 장수공원,양천구,
739, 신월사거리,양천구,
740, 으뜸공원,양천구,
741, 화곡로 입구 교차로,양천구,
742, 등촌역 5번 출구 뒤,양천구,
743, 현대6차아파트 101동 옆,양천구,
744, 신목동역 2번 출구,양천구,40.0
745, 강서초등학교,양천구,
746, 목동2단지 상가,양천구,
747, 목동3단지 상가,양천구,
748, 목동운동장,양천구,
749, 이대목동병원보도육교,양천구,
750, 연의근린공원 건너편,양천구,
752, 성원2차 아파트,양천구,
754, 목동1단지아파트 118동 앞,양천구,
755, 목동1단지아파트 상가 앞,양천구,
756, 목동주차장,양천구,
757, 신정이펜하우스 1단지아파트 입구 사거리,양천구,
758, 한사랑교회 앞,양천구,
759, 보아스아파트 앞,양천구,
760, 잣절보도육교 아래,양천구,
762, 오목로 무중력지대 앞,양천구,
763, 목동11단지 아파트,양천구,
764, 목동청소년수련관,양천구,
765, 오목교역 3번출구,양천구,
766, 신목동역 3번출구,양천구,
767,신정숲속마을아파트,양천구,10.0
768,목동5단지아파트 501동,양천구,15.0
769,CBS방송국 앞,양천구,20.0
770,목동역5번출구 교통정보센터 앞,양천구,15.0
771,목동아파트 703동 앞,양천구,8.0
773,"염창역 3, 4번 출구 사이",양천구,10.0
774,등촌역 4번 출구,양천구,11.0
775,세종그랑시아 앞(102동),양천구,10.0
776,목마공원,양천구,15.0
777,신월6차보람아파트 앞,양천구,10.0
779, 신정1동 주민센터 앞,양천구,20.0
780,신정교 하부,양천구,15.0
781,신정보도육교 아래,양천구,15.0
782,서남병원 후문,양천구,20.0
785,"양천구청, 보건소 사잇길",양천구,24.0
786,목동아파트 8단지 상가동 앞,양천구,9.0
787,양천아파트 입구,양천구,14.0
788,양천구청역 2번출구 옆,양천구,15.0
790,화곡고가 사거리,양천구,30.0
791,현대하이페리온,양천구,15.0
792,목동트라팰리스 웨스턴에비뉴,양천구,20.0
793,목동5단지아파트 534동,양천구,15.0
794,양천문화회관,양천구,10.0
795,양천 해누리타운,양천구,22.0
796,목동아파트 14단지 B상가 앞,양천구,10.0
797,목동아파트 1422동 1434동 사잇길,양천구,10.0
800, 목월공원 앞,용산구,
802, 한강진역 2번 출구 앞,용산구,
